speed,heading_error,checkpoint_distance,ray_0_front,ray_1_+45,ray_2_+90,ray_3_+135,ray_4_back,ray_5_-135,ray_6_-90,ray_7_-45,ground_friction,throttle,steering
18.2630,-0.0776,38.0135,6.4027,41.2291,35.4739,37.3767,50.0000,50.0000,13.6422,5.4607,1.0000,1.0000,0.0000
18.6688,-0.0909,37.2355,6.8903,40.5241,34.8672,37.2172,50.0000,50.0000,12.9072,5.5329,1.0000,1.0000,0.0000
19.0784,-0.1043,36.4285,7.0677,39.8348,34.2742,36.8330,50.0000,50.0000,11.6793,5.3661,0.9000,1.0000,0.0000
19.3012,-0.1178,35.5974,6.8378,39.1632,33.6963,36.2398,50.0000,50.0000,10.0311,4.9510,0.9000,1.0000,0.0000
19.5266,-0.1315,34.7497,6.1953,38.5094,33.1338,35.4401,50.0000,50.0000,8.0871,4.3140,0.9000,1.0000,0.0000
18.5035,-0.0934,33.9152,6.3835,39.2567,32.2903,33.7629,50.0000,50.0000,8.5822,4.4354,0.8000,1.0000,0.0000
18.3272,-0.0922,33.1032,7.1853,39.0696,31.7270,33.7077,50.0000,50.0000,8.6339,4.6413,0.8000,1.0000,0.0000
18.4059,-0.1055,32.2879,7.8093,38.4885,31.2551,33.8698,50.0000,50.0000,7.9723,4.6495,0.8000,1.0000,0.0000
18.4905,-0.1189,31.4645,8.0533,37.9286,30.8004,33.8494,50.0000,50.0000,7.0221,4.4028,0.8000,1.0000,0.0000
17.9728,-0.1033,30.6483,8.4236,38.2381,30.2539,33.6080,50.0000,50.0000,6.9360,4.4388,0.8000,1.0000,0.0000
17.8426,-0.1166,29.8377,9.2933,37.7222,29.8457,33.8938,50.0000,50.0000,6.4098,4.3899,0.8000,1.0000,0.0000
17.7273,-0.1086,29.0335,9.8664,37.8805,29.3906,34.0761,50.0000,50.0000,6.3040,4.4379,0.8000,1.0000,0.0000
17.8619,-0.1222,28.2278,10.8350,37.4041,29.0209,34.3976,50.0000,50.0000,5.7480,4.3163,0.8000,1.0000,0.0000
17.4304,-0.1167,27.4224,11.3908,37.5529,28.6226,34.7753,50.0000,50.0000,5.6013,4.3057,0.8000,1.0000,0.0000
17.5849,-0.1212,26.6250,12.3970,37.4170,28.2715,35.2588,50.0000,50.0000,5.3267,4.2622,0.8000,1.0000,0.0000
17.4289,-0.1204,25.8262,13.1109,37.4881,27.9317,35.8387,50.0000,50.0000,5.1254,4.2427,0.8000,1.0000,0.0000
17.2737,-0.1245,25.0289,14.2148,37.4336,27.6198,36.4808,50.0000,50.0000,4.8939,4.1996,0.8000,1.0000,1.0000
17.2986,-0.0274,24.2370,9.0945,41.5563,27.3779,36.2429,50.0000,50.0000,5.1607,4.0577,0.8000,1.0000,1.0000
16.8801,0.0875,23.4459,7.1363,48.7982,27.5955,32.5146,50.0000,50.0000,5.7655,4.0139,0.8000,1.0000,1.0000
